"id","limits"
"1","0;64;127"
"2","0;101;127"
"3","0;19;98;127"
"4","0;5;115;127"
"5","0;125"
"6","0;23;127"
"7","0;21;93;127"
"8","0;21;127"
"9","0;68;127"
"10","0;24;126"
"11","0;84;105;127"
"12","0;19;74;127"
"13","0;23;34;127"
"14","0;89;127"
"15","0;54;114;127"
"16","0;17;123;127"
"17","0;18;127"
"18","0;70;127"
"19","0;4;109;127"
"20","0;27;103;127"
"21","0;86;127"
"22","0;101;127"
"23","0;14;80;127"
"24","0;23;67;80;127"
"25","0;75;124;127"
"26","0;26;127"
"27","0;21;127"
"28","0;18;127"
"29","0;27;65;127"
"30","0;28;127"
"31","0;109;127"
"32","0;72;127"
"33","0;20;71;88;127"
"34","0;29;127"
"35","0;49;93;127"
"36","0;21;127"
"37","0;22;124;127"
"38","0;28;127"
"39","0;23;127"
"40","0;31;127"
"41","0;76;127"
"42","0;117;127"
"43","0;74;126"
"44","0;90;127"
"45","0;117;127"
"46","0;14;104;127"
"47","0;68;126"
"48","0;24;127"
"49","0;5;17;67;127"
"50","0;66;127"
"51","0;20;127"
"52","0;16;76;127"
"53","0;15;57;127"
"54","0;26;101;127"
"55","0;72;127"
"56","0;29;106;126"
"57","0;18;127"
"58","0;17;63;127"
"59","0;16;73;127"
"60","0;26;127"
"61","0;72;124;127"
"62","0;24;107;127"
"63","0;16;102;127"
"64","0;24;96;127"
"65","0;24;127"
"66","0;17;82;127"
"67","0;17;97;127"
"68","0;29;127"
"69","0;50;127"
"70","0;23;64;92;127"
"71","0;4;112;127"
"72","0;26;38;127"
"73","0;19;127"
"74","0;24;88;127"
"75","0;75;127"
"76","0;105;127"
"77","0;64;103;127"
"78","0;67;127"
"79","0;31;127"
"80","0;89;127"
"81","0;19;68;94;127"
"82","0;16;22;52;89;126"
"83","0;26;104;127"
"84","0;20;39;105;127"
"85","0;29;119;127"
"86","0;20;31;127"
"87","0;17;126"
"88","0;16;22;96;127"
"89","0;16;125"
"90","0;23;80;127"
"91","0;24;127"
"92","0;17;97;124;127"
"93","0;98;127"
"94","0;91;127"
"95","0;38;127"
"96","0;67;127"
"97","0;24;127"
"98","0;27;127"
"99","0;27;104;126"
"100","0;19;127"
"101","0;70;127"
"102","0;69;127"
"103","0;23;68;127"
"104","0;22;127"
"105","0;108;127"
"106","0;23;127"
"107","0;25;127"
"108","0;26;126"
"109","0;24;68;127"
"110","0;17;49;107;113;127"
"111","0;19;49;74;127"
"112","0;19;83;127"
"113","0;26;64;122;127"
"114","0;17;125"
"115","0;22;36;40;127"
"116","0;14;127"
"117","0;68;121;127"
"118","0;17;101;127"
"119","0;70;88;100;127"
"120","0;17;90;127"
"121","0;21;127"
"122","0;25;126"
"123","0;20;46;62;104;127"
"124","0;29;68;71;127"
"125","0;74;93;96;127"
"126","0;24;127"
"127","0;14;18;34;45;127"
"128","0;14;86;127"
"129","0;66;127"
"130","0;19;127"
"131","0;26;127"
"132","0;18;58;96;106;127"
"133","0;26;106;127"
"134","0;25;36;127"
"135","0;20;127"
"136","0;36;55;84;101;127"
"137","0;96;127"
"138","0;23;77;126"
"139","0;21;65;127"
"140","0;21;90;127"
"141","0;77;127"
"142","0;21;66;121;127"
"143","0;67;124;127"
"144","0;29;126"
"145","0;34;127"
"146","0;13;114;127"
"147","0;23;127"
"148","0;21;42;95;127"
"149","0;74;127"
"150","0;14;88;127"
"151","0;29;41;127"
"152","0;19;127"
"153","0;86;127"
"154","0;27;105;127"
"155","0;26;127"
"156","0;81;127"
"157","0;28;108;124;127"
"158","0;90;127"
"159","0;29;60;127"
"160","0;16;124;127"
"161","0;121;127"
"162","0;22;127"
"163","0;11;110;127"
"164","0;3;113;127"
"165","0;16;127"
"166","0;19;95;127"
"167","0;4;65;127"
"168","0;14;123;127"
"169","0;15;113;127"
"170","0;18;127"
"171","0;79;127"
"172","0;19;126"
"173","0;28;98;111;123;127"
"174","0;18;112;127"
"175","0;22;127"
"176","0;64;127"
"177","0;76;125"
"178","0;14;112;127"
"179","0;17;127"
"180","0;17;109;127"
"181","0;21;125"
"182","0;22;78;92;125"
"183","0;107;127"
"184","0;25;127"
"185","0;101;127"
"186","0;29;127"
"187","0;64;127"
"188","0;26;96;127"
"189","0;22;39;105;127"
"190","0;72;127"
"191","0;20;127"
"192","0;84;127"
"193","0;24;127"
"194","0;26;45;55;78;127"
"195","0;19;83;125"
"196","0;17;99;127"
"197","0;22;127"
"198","0;67;120;127"
"199","0;20;127"
"200","0;25;40;118;127"
"201","0;10;88;127"
"202","0;18;123;127"
"203","0;80;127"
"204","0;90;127"
"205","0;27;92;126"
"206","0;119;127"
"207","0;25;65;90;127"
"208","0;20;127"
"209","0;70;127"
"210","0;17;125"
"211","0;59;84;125"
"212","0;60;103;126"
"213","0;94;121;127"
"214","0;27;127"
"215","0;88;127"
"216","0;91;106;126"
"217","0;22;52;127"
"218","0;6;94;127"
"219","0;25;77;81;127"
"220","0;127"
"221","0;20;117;127"
"222","0;24;127"
"223","0;16;84;127"
"224","0;19;127"
"225","0;92;127"
"226","0;18;120;127"
"227","0;16;32;127"
"228","0;27;127"
"229","0;16;127"
"230","0;25;127"
"231","0;95;127"
"232","0;17;65;127"
"233","0;18;28;74;80;89;127"
"234","0;25;89;127"
"235","0;9;70;85;120;127"
"236","0;96;127"
"237","0;27;112;127"
"238","0;76;115;127"
"239","0;18;71;127"
"240","0;18;126"
"241","0;124;127"
"242","0;16;117;127"
"243","0;104;127"
"244","0;14;69;127"
"245","0;75;117;127"
"246","0;29;127"
"247","0;17;54;102;116;127"
"248","0;24;108;127"
"249","0;14;124;127"
"250","0;4;33;101;127"
"251","0;18;85;90;112;127"
"252","0;86;127"
"253","0;24;127"
"254","0;17;103;127"
"255","0;101;127"
"256","0;28;127"
"257","0;20;24;59;127"
"258","0;14;73;127"
"259","0;27;92;127"
"260","0;83;127"
"261","0;22;127"
"262","0;29;126"
"263","0;24;30;89;127"
"264","0;27;100;127"
"265","0;15;126"
"266","0;118;127"
"267","0;25;127"
"268","0;67;93;97;127"
"269","0;98;127"
"270","0;21;100;127"
"271","0;72;127"
"272","0;106;127"
"273","0;28;74;127"
"274","0;26;103;127"
"275","0;25;32;110;127"
"276","0;26;127"
"277","0;75;127"
"278","0;67;119;127"
"279","0;25;105;127"
"280","0;20;68;124;127"
"281","0;24;127"
"282","0;20;127"
"283","0;26;125"
"284","0;68;127"
"285","0;27;127"
"286","0;14;67;127"
"287","0;106;127"
"288","0;4;80;127"
"289","0;23;127"
"290","0;96;127"
"291","0;29;73;116;127"
"292","0;15;64;127"
"293","0;72;127"
"294","0;12;29;85;127"
"295","0;28;78;85;123;127"
"296","0;23;108;127"
"297","0;83;127"
"298","0;23;30;95;127"
"299","0;92;104;127"
