"id","limits"
"1","0;85;124;205;228;274"
"2","0;87;95;274"
"3","0;54;84;154;173;274"
"4","0;59;62;134;274"
"5","0;76;85;274"
"6","0;54;84;166;187;274"
"7","0;76;79;151;271;274"
"8","0;70;73;172;267;274"
"9","0;63;66;145;274"
"10","0;81;108;274"
"11","0;62;99;180;203;274"
"12","0;56;59;121;274"
"13","0;59;83;153;174;274"
"14","0;56;99;178;197;274"
"15","0;62;83;274"
"16","0;67;89;274"
"17","0;60;63;121;274"
"18","0;85;127;196;218;274"
"19","0;94;101;104;266;274"
"20","0;88;96;234;274"
"21","0;43;87;162;183;274"
"22","0;65;79;119;274"
"23","0;33;78;105;269;274"
"24","0;74;83;274"
"25","0;83;86;157;251;274"
"26","0;47;70;145;157;167;274"
"27","0;57;101;180;199;274"
"28","0;66;75;109;274"
"29","0;48;91;170;190;274"
"30","0;20;61;105;251;274"
"31","0;64;83;274"
"32","0;74;77;137;244;274"
"33","0;76;162;274"
"34","0;85;88;161;274"
"35","0;55;66;200;274"
"36","0;88;119;274"
"37","0;57;64;142;161;274"
"38","0;71;79;274"
"39","0;112;115;262;274"
"40","0;52;90;119;267;274"
"41","0;80;104;175;194;274"
"42","0;102;133;274"
"43","0;89;92;123;210;238;272"
"44","0;68;71;157;274"
"45","0;60;93;112;270;274"
"46","0;76;79;155;260;274"
"47","0;47;55;135;274"
"48","0;53;92;274"
"49","0;42;68;274"
"50","0;64;102;171;192;274"
"51","0;75;78;161;274"
"52","0;41;71;274"
"53","0;117;120;126;206;274"
"54","0;102;109;243;274"
"55","0;52;76;141;161;274"
"56","0;71;85;274"
"57","0;61;94;159;177;274"
"58","0;86;95;274"
"59","0;72;115;190;212;274"
"60","0;62;105;187;208;274"
"61","0;91;136;214;235;274"
"62","0;84;92;274"
"63","0;54;95;168;188;267;274"
"64","0;105;108;164;269;274"
"65","0;48;83;115;274"
"66","0;61;69;274"
"67","0;94;97;231;274"
"68","0;87;94;274"
"69","0;82;85;152;246;274"
"70","0;57;64;160;274"
"71","0;69;77;213;274"
"72","0;64;67;172;273"
"73","0;68;105;186;210;270;274"
"74","0;51;71;103;274"
"75","0;45;53;126;274"
"76","0;117;120;272"
"77","0;91;94;175;274"
"78","0;58;93;274"
"79","0;65;92;274"
"80","0;68;71;125;267;274"
"81","0;81;84;156;263;274"
"82","0;99;106;138;225;248;274"
"83","0;68;99;148;274"
"84","0;95;103;241;274"
"85","0;92;95;175;274"
"86","0;90;93;154;272"
"87","0;47;55;87;274"
"88","0;72;93;101;255;274"
"89","0;80;88;224;274"
"90","0;61;69;210;274"
"91","0;50;88;157;176;274"
"92","0;50;56;59;134;265;274"
"93","0;56;64;213;274"
"94","0;91;94;166;271;274"
"95","0;63;90;160;179;274"
"96","0;76;121;193;213;274"
"97","0;92;95;160;274"
"98","0;95;98;159;218;221;252;274"
"99","0;54;79;152;171;274"
"100","0;79;109;274"
"101","0;50;57;143;274"
"102","0;106;189;272"
"103","0;38;61;107;274"
"104","0;50;91;169;188;274"
"105","0;60;67;155;274"
"106","0;95;130;274"
"107","0;80;94;123;274"
"108","0;47;55;134;274"
"109","0;110;121;271;274"
"110","0;44;98;143;265;274"
"111","0;54;83;274"
"112","0;55;92;274"
"113","0;50;83;274"
"114","0;53;114;192;214;274"
"115","0;50;83;274"
"116","0;94;103;226;274"
"117","0;71;117;189;212;274"
"118","0;95;183;261;274"
"119","0;60;93;274"
"120","0;58;96;274"
"121","0;84;117;274"
"122","0;71;107;274"
"123","0;50;71;143;163;274"
"124","0;55;58;167;262;274"
"125","0;87;95;232;274"
"126","0;103;106;152;187;263;274"
"127","0;56;92;274"
"128","0;66;108;274"
"129","0;101;104;200;274"
"130","0;78;106;150;274"
"131","0;91;99;247;274"
"132","0;49;52;56;140;273"
"133","0;48;79;274"
"134","0;93;130;274"
"135","0;77;80;96;175;184;252;274"
"136","0;105;113;274"
"137","0;58;64;148;273"
"138","0;88;91;190;263;274"
"139","0;46;54;122;274"
"140","0;48;55;147;274"
"141","0;56;84;154;172;274"
"142","0;75;117;191;212;274"
"143","0;87;111;201;219;274"
"144","0;53;96;168;188;274"
"145","0;53;96;177;200;274"
"146","0;83;90;274"
"147","0;66;77;110;274"
"148","0;54;86;274"
"149","0;85;119;273"
"150","0;51;54;165;257;274"
"151","0;40;62;91;274"
"152","0;60;111;191;214;274"
"153","0;72;75;136;243;274"
"154","0;58;64;157;274"
"155","0;44;60;97;274"
"156","0;72;75;158;274"
"157","0;53;56;163;274"
"158","0;66;70;271;274"
"159","0;72;75;137;274"
"160","0;79;87;226;274"
"161","0;82;120;193;213;274"
"162","0;88;166;260;274"
"163","0;56;76;105;274"
"164","0;54;94;169;190;274"
"165","0;78;113;194;213;274"
"166","0;77;80;164;260;274"
"167","0;95;179;269;274"
"168","0;83;91;274"
"169","0;45;67;82;274"
"170","0;29;62;96;274"
"171","0;70;194;241;274"
"172","0;66;107;178;198;274"
"173","0;74;77;146;234;274"
"174","0;52;60;156;274"
"175","0;50;89;161;185;274"
"176","0;73;111;274"
"177","0;61;70;203;274"
"178","0;77;88;274"
"179","0;49;87;165;185;274"
"180","0;85;123;194;215;219;274"
"181","0;45;52;130;274"
"182","0;69;105;180;199;274"
"183","0;92;100;249;274"
"184","0;68;109;177;196;274"
"185","0;72;118;190;214;274"
"186","0;81;106;180;199;274"
"187","0;83;111;274"
"188","0;86;94;274"
"189","0;99;106;109;120;177;240;264;274"
"190","0;40;67;70;78;211;220;233;274"
"191","0;61;93;274"
"192","0;62;102;274"
"193","0;57;82;114;274"
"194","0;104;113;274"
"195","0;55;89;156;177;274"
"196","0;89;98;274"
"197","0;97;100;173;274"
"198","0;94;122;165;274"
"199","0;91;99;274"
"200","0;75;78;177;252;274"
